Date,Visits,UniqueVisitors,Pageviews
01/01/2018,10620,9575,45765
02/01/2018,8912,8061,42513
03/01/2018,9073,8074,42334
04/01/2018,9225,8290,46141
05/01/2018,14470,13253,74009
06/01/2018,14082,12765,66577
07/01/2018,9546,8724,43839
08/01/2018,11048,9991,45218
09/01/2018,8998,8043,42235
10/01/2018,9574,8630,43817
11/01/2018,8963,7858,43594
12/01/2018,10996,9795,53147
13/01/2018,10942,9923,48806
14/01/2018,8512,7773,39729
15/01/2018,7996,7008,41490
16/01/2018,9442,8370,45487
17/01/2018,8323,7412,40152
18/01/2018,8326,7431,40744
19/01/2018,10733,9530,51035
20/01/2018,11493,10359,52138
21/01/2018,10333,9446,49331
22/01/2018,10734,9640,52800
23/01/2018,9804,8813,49617
24/01/2018,9476,8363,49916
25/01/2018,9724,8651,48253
26/01/2018,12024,10816,57542
27/01/2018,12703,11467,60628
28/01/2018,11859,10671,54237
29/01/2018,18045,16283,96096
30/01/2018,14406,12880,70320
31/01/2018,11095,9821,51028
01/02/2018,13007,11782,58450
02/02/2018,13633,12316,63343
03/02/2018,13965,12721,63216
04/02/2018,11688,10742,50622
05/02/2018,10339,9287,53738
06/02/2018,9340,8299,45692
07/02/2018,10230,9136,48108
08/02/2018,10617,9384,48438
09/02/2018,12643,11335,59701
10/02/2018,13211,11886,61728
11/02/2018,10063,9007,45233
12/02/2018,9122,7981,43115
13/02/2018,9375,8212,46274
14/02/2018,11933,10696,61384
15/02/2018,10086,8826,51484
16/02/2018,12015,10802,59796
17/02/2018,12639,11399,59589
18/02/2018,8811,8043,41595
19/02/2018,10226,8964,52365
20/02/2018,10228,8905,50331
21/02/2018,9570,8290,46016
22/02/2018,9943,8833,49236
23/02/2018,11883,10750,56258
24/02/2018,11585,10638,50929
25/02/2018,8238,7402,33833
26/02/2018,8725,7710,41842
27/02/2018,9074,7934,43168
28/02/2018,8824,7827,41387
01/03/2018,10059,9035,44621
02/03/2018,11984,10952,53541
03/03/2018,13414,12215,60958
04/03/2018,11147,10052,53604
05/03/2018,10677,9493,51504
06/03/2018,13988,12395,63748
07/03/2018,11367,9934,52270
08/03/2018,9892,8641,48357
09/03/2018,13051,11804,63938
10/03/2018,13742,12493,57513
11/03/2018,11018,9962,49664
12/03/2018,8953,7837,43417
13/03/2018,8778,7621,42122
14/03/2018,8637,7532,41781
15/03/2018,9361,8198,43903
16/03/2018,11259,10115,52041
17/03/2018,11686,10593,54340
18/03/2018,9633,8772,45816
19/03/2018,8619,7657,42340
20/03/2018,8240,7274,39715
21/03/2018,8497,7404,40760
22/03/2018,8194,7249,38180
23/03/2018,11279,10021,49404
24/03/2018,11390,10260,51078
25/03/2018,8525,7686,37580
26/03/2018,7998,7034,37158
27/03/2018,9211,8045,43755
28/03/2018,8774,7680,36382
29/03/2018,9840,8622,40979
30/03/2018,10260,9322,42571
31/03/2018,9980,8971,40513
01/04/2018,9952,9087,39056
02/04/2018,10140,9155,41993
03/04/2018,8959,8025,37140
04/04/2018,9256,8158,39515
05/04/2018,9449,8365,41957
06/04/2018,10868,9568,46897
07/04/2018,10625,9555,43047
08/04/2018,9191,8252,38045
09/04/2018,8570,7510,37175
10/04/2018,9944,8840,42247
11/04/2018,9920,8726,42905
12/04/2018,10066,8856,42727
13/04/2018,10965,9804,43364
14/04/2018,9871,8893,37568
15/04/2018,9093,8208,35507
16/04/2018,7862,6930,32852
17/04/2018,7611,6544,32700
18/04/2018,7193,6210,30488
19/04/2018,7085,6263,30021
20/04/2018,8706,7747,36397
21/04/2018,8746,7866,34082
22/04/2018,7749,6984,30861
23/04/2018,8280,7210,34224
24/04/2018,5816,5076,25708
25/04/2018,169,144,189
26/04/2018,82,72,91
27/04/2018,62,47,64
28/04/2018,34,28,38
29/04/2018,24,21,26
30/04/2018,3935,3671,18209
01/05/2018,10186,9019,46279
02/05/2018,16765,14181,64087
03/05/2018,11551,9929,53492
04/05/2018,10929,9618,48331
05/05/2018,8777,7753,33900
06/05/2018,7841,7040,30736
07/05/2018,7604,6808,33324
08/05/2018,8094,7073,37077
09/05/2018,7879,6947,35015
10/05/2018,8303,7260,35968
11/05/2018,9954,8819,42481
12/05/2018,9933,8978,38323
13/05/2018,7731,7025,30645
14/05/2018,7001,6107,30795
15/05/2018,7652,6623,36304
16/05/2018,8084,6981,38352
17/05/2018,7746,6742,36406
18/05/2018,8693,7602,36321
19/05/2018,7576,6881,28115
20/05/2018,7066,6370,28251
21/05/2018,7121,6129,31201
22/05/2018,7072,6098,33102
23/05/2018,7181,6254,32534
24/05/2018,7373,6375,32569
25/05/2018,9547,8459,39848
26/05/2018,8402,7556,32627
27/05/2018,8297,7510,33087
28/05/2018,7596,6843,32397
29/05/2018,7776,6804,34669
30/05/2018,8365,7318,37677
31/05/2018,8582,7551,37251
01/06/2018,10420,9259,42713
02/06/2018,11135,10226,41950
03/06/2018,8155,7431,31495
04/06/2018,8438,7472,36808
05/06/2018,7954,6993,33945
06/06/2018,7820,6889,33308
07/06/2018,8160,7335,34821
08/06/2018,9497,8531,41521
09/06/2018,8813,7965,35521
10/06/2018,7572,6846,30813
11/06/2018,7219,6425,33436
12/06/2018,7392,6447,33499
13/06/2018,7667,6749,32732
14/06/2018,7494,6649,33438
15/06/2018,9490,8627,38275
16/06/2018,9943,9011,39794
17/06/2018,8798,8019,34697
18/06/2018,8032,7030,35451
19/06/2018,5558,4806,26053
20/06/2018,8596,7491,37911
